radio,1 Urbano,2 Rural agrupado,3 Rural disperso,TOTAL
020010101,82,0,0,82
020010201,149,0,0,149
020010202,124,0,0,124
020010203,104,0,0,104
020010204,120,0,0,120
020010205,82,0,0,82
020010206,180,0,0,180
020010207,77,0,0,77
020010208,135,0,0,135
020010209,99,0,0,99
020010210,59,0,0,59
020010211,172,0,0,172
020010212,342,0,0,342
020010213,122,0,0,122
020010214,168,0,0,168
020010215,154,0,0,154
020010216,376,0,0,376
020010217,162,0,0,162
020010218,126,0,0,126
020010219,99,0,0,99
020010301,168,0,0,168
020010302,156,0,0,156
020010303,174,0,0,174
020010304,133,0,0,133
020010305,232,0,0,232
020010306,252,0,0,252
020010307,108,0,0,108
020010308,286,0,0,286
020010309,372,0,0,372
020010310,261,0,0,261
020010311,223,0,0,223
020010312,170,0,0,170
020010313,91,0,0,91
020010314,133,0,0,133
020010315,263,0,0,263
020010316,202,0,0,202
020010317,187,0,0,187
020010318,175,0,0,175
020010319,311,0,0,311
020010320,109,0,0,109
020010321,108,0,0,108
020010322,197,0,0,197
020010323,280,0,0,280
020010401,1244,0,0,1244
020010402,938,0,0,938
020010403,542,0,0,542
020010404,660,0,0,660
020010405,483,0,0,483
020010406,517,0,0,517
020010407,672,0,0,672
020010408,500,0,0,500
020010501,362,0,0,362
020010502,430,0,0,430
020010503,643,0,0,643
020010504,698,0,0,698
020010505,389,0,0,389
020010506,641,0,0,641
020010507,563,0,0,563
020010601,513,0,0,513
020010602,425,0,0,425
020010603,685,0,0,685
020010604,704,0,0,704
020010605,331,0,0,331
020010606,396,0,0,396
020010607,387,0,0,387
020010608,511,0,0,511
020010609,602,0,0,602
020010610,354,0,0,354
020010701,620,0,0,620
020010702,281,0,0,281
020010703,295,0,0,295
020010704,597,0,0,597
020010705,457,0,0,457
020010706,400,0,0,400
020010707,641,0,0,641
020010708,469,0,0,469
020010709,571,0,0,571
020010710,853,0,0,853
020010711,362,0,0,362
020010712,404,0,0,404
020010713,254,0,0,254
020010801,364,0,0,364
020010802,908,0,0,908
020010803,813,0,0,813
020010804,704,0,0,704
020010805,458,0,0,458
020010806,1024,0,0,1024
020010807,953,0,0,953
020010808,346,0,0,346
020010809,481,0,0,481
020010810,395,0,0,395
020010901,410,0,0,410
020010902,742,0,0,742
020010903,715,0,0,715
020010904,567,0,0,567
020010905,455,0,0,455
020010906,558,0,0,558
020010907,868,0,0,868
020010908,405,0,0,405
020010909,851,0,0,851
020010910,366,0,0,366
020010911,383,0,0,383
020010912,238,0,0,238
020010913,449,0,0,449
020010914,435,0,0,435
020010915,608,0,0,608
020010916,647,0,0,647
