radio,1 Hogar de ancianos,2 Hogar de menores,3 Colegio internado,4 Campamento/obrador,5 Hospital,6 Prisión,7 Cuartel,8 Hogar de religiosos,9 Hotel turístico,10 Otros,TOTAL
020010101,0,0,0,0,0,1,1,0,0,0,2
020010201,1,0,0,0,0,0,0,0,0,0,1
020010202,0,0,0,0,0,0,0,0,0,0,0
020010203,0,0,0,0,0,0,0,0,0,0,0
020010204,0,0,0,0,0,0,0,0,0,0,0
020010205,0,0,0,0,0,0,0,0,0,0,0
020010206,0,0,0,0,0,0,0,0,0,0,0
020010207,0,0,0,0,0,0,0,0,0,0,0
020010208,0,0,0,0,0,0,0,0,0,0,0
020010209,0,0,0,0,0,0,0,0,0,0,0
020010210,0,0,0,0,0,0,0,0,0,0,0
020010211,0,0,0,0,0,0,0,0,0,0,0
020010212,0,0,0,0,0,0,1,0,0,0,1
020010213,0,0,0,0,0,0,0,0,0,0,0
020010214,0,0,0,0,0,0,0,0,0,0,0
020010215,0,0,0,0,0,0,0,0,0,0,0
020010216,0,0,0,0,0,0,0,0,0,0,0
020010217,0,0,0,0,0,0,0,0,0,0,0
020010218,0,0,0,0,0,0,0,0,0,0,0
020010219,0,0,0,0,0,0,0,0,0,0,0
020010301,0,0,0,0,0,0,0,0,0,0,0
020010302,0,0,1,0,0,0,0,0,1,0,2
020010303,0,0,0,0,0,0,0,0,0,0,0
020010304,0,0,0,0,0,0,0,0,0,0,0
020010305,0,0,0,0,0,0,0,0,0,0,0
020010306,0,0,0,0,0,0,0,0,0,0,0
020010307,0,0,0,0,0,0,0,0,0,0,0
020010308,0,0,0,0,0,0,0,0,0,0,0
020010309,0,0,0,0,0,0,0,0,0,0,0
020010310,0,0,0,0,0,0,0,0,0,0,0
020010311,0,0,0,0,0,0,0,0,0,0,0
020010312,0,0,0,0,0,0,0,0,0,0,0
020010313,0,0,0,0,0,0,0,0,0,0,0
020010314,0,0,0,0,0,0,0,0,0,0,0
020010315,0,0,0,0,0,0,0,0,0,0,0
020010316,0,0,0,0,0,0,0,0,0,0,0
020010317,0,0,0,0,0,0,0,0,0,0,0
020010318,0,0,0,0,0,0,0,0,0,0,0
020010319,0,0,0,0,0,0,0,0,0,0,0
020010320,0,0,0,0,0,0,0,0,0,0,0
