dpto,VIVIENDAS_PARTICULARES,POBLACION_TOTAL,1 Ocupado,2 Desocupado,3 Inactivo,TOTAL
2001,78360,205886,115106.0,5478.0,40224.0,160808.0
2002,70869,157932,94799.0,3703.0,38033.0,136535.0
2003,75605,187537,111137.0,4974.0,40042.0,156153.0
2004,69680,218245,117188.0,6758.0,49626.0,173572.0
2005,73226,179005,107804.0,4481.0,39007.0,151292.0
2006,72942,176076,105497.0,3841.0,40076.0,149414.0
2007,73034,220591,121177.0,5856.0,51721.0,178754.0
2008,48631,187237,91064.0,6387.0,45401.0,142852.0
2009,52355,161797,85429.0,4687.0,41757.0,131873.0
2010,58332,166022,92517.0,4396.0,41092.0,138005.0
2011,68652,189832,106924.0,4507.0,46203.0,157634.0
2012,75311,199362,118377.0,4839.0,47451.0,170667.0
2013,98087,233620,141415.0,4810.0,53227.0,199452.0
2014,99552,225970,139698.0,5088.0,49858.0,194644.0
2015,69033,182574,109075.0,4460.0,39504.0,153039.0
6007,6097,17072,8461.0,513.0,4561.0,13535.0
6014,4090,12047,5750.0,243.0,3351.0,9344.0
6021,3725,10654,5148.0,152.0,3103.0,8403.0
6028,142614,552902,262451.0,19966.0,131773.0,414190.0
6035,103661,342677,173364.0,11545.0,87169.0,272078.0
6042,6768,20337,9759.0,380.0,5256.0,15395.0
6049,21050,65280,31206.0,1659.0,17162.0,50027.0
6056,102037,301572,147222.0,9862.0,81864.0,238948.0
6063,14022,43823,20451.0,1196.0,12635.0,34282.0
6070,10001,32761,14664.0,879.0,9097.0,24640.0
6077,9212,29044,13267.0,668.0,8222.0,22157.0
6084,6638,20239,8927.0,506.0,5328.0,14761.0
6091,86248,324244,153043.0,12690.0,77304.0,243037.0
6098,25778,88470,42813.0,3394.0,21516.0,67723.0
6105,11708,34190,15914.0,530.0,10068.0,26512.0
6112,13457,41336,18985.0,858.0,12165.0,32008.0
6119,8016,26367,12363.0,600.0,6396.0,19359.0
6126,25977,94461,43750.0,2766.0,22735.0,69251.0
6134,14650,51892,23455.0,1304.0,12807.0,37566.0
6140,4481,14494,7024.0,272.0,3778.0,11074.0
6147,7504,22237,10711.0,365.0,5898.0,16974.0
6154,3832,11570,5624.0,131.0,3152.0,8907.0
6161,4498,14692,7218.0,268.0,3679.0,11165.0
6168,2666,8205,3861.0,177.0,2225.0,6263.0
6175,7926,24890,11430.0,732.0,6981.0,19143.0
6182,18705,62152,27504.0,1894.0,16995.0,46393.0
6189,5586,15825,7335.0,370.0,4813.0,12518.0
6196,7888,22933,10649.0,613.0,6581.0,17843.0
6203,13104,38320,19921.0,623.0,9725.0,30269.0
6210,15624,48703,23472.0,807.0,13653.0,37932.0
6217,13425,42277,19923.0,1124.0,10820.0,31867.0
6224,21275,64185,32446.0,1567.0,16140.0,50153.0
6231,5284,16889,8220.0,280.0,4251.0,12751.0
6238,8767,27042,12121.0,558.0,7723.0,20402.0
6245,16486,56729,26993.0,2172.0,13438.0,42603.0
6252,54876,213619,105217.0,6720.0,43979.0,155916.0
6260,77955,300959,144287.0,11164.0,67124.0,222575.0
6266,8626,29805,15082.0,649.0,6345.0,22076.0
6270,41661,163722,75752.0,5631.0,33271.0,114654.0
6274,104128,426005,188025.0,16427.0,97471.0,301923.0
6277,2923,8869,4241.0,138.0,2323.0,6702.0
6280,12339,39594,17612.0,1066.0,11172.0,29850.0
6287,3174,11130,4537.0,173.0,2659.0,7369.0
6294,5248,14903,6964.0,239.0,4718.0,11921.0
6301,5879,17365,8190.0,362.0,4829.0,13381.0
6308,998,2816,1321.0,37.0,846.0,2204.0
6315,6162,19747,8922.0,455.0,5310.0,14687.0
6322,3689,10783,5228.0,236.0,2830.0,8294.0
6329,4466,14889,7156.0,327.0,3696.0,11179.0
6336,1146,3700,1683.0,85.0,935.0,2703.0
6343,3647,11202,5277.0,211.0,3024.0,8512.0
6351,3820,11261,5508.0,220.0,2925.0,8653.0
6357,201039,618989,302301.0,22980.0,158201.0,483482.0
6364,22724,87185,39764.0,2387.0,18959.0,61110.0
6371,121392,414196,215691.0,12514.0,99560.0,327765.0
6385,6172,18078,8451.0,349.0,5388.0,14188.0
6392,10120,30864,14745.0,512.0,7958.0,23215.0
6399,4134,11826,5822.0,220.0,3105.0,9147.0
6406,3206,9585,4502.0,147.0,2612.0,7261.0
6408,50403,181241,92154.0,6382.0,43599.0,142135.0
6410,48074,167824,85704.0,5552.0,39468.0,130724.0
6412,65708,265981,122477.0,9325.0,61107.0,192909.0
6413,29073,90305,43936.0,2051.0,23999.0,69986.0
6420,23241,69633,31313.0,2040.0,19660.0,53013.0
6427,405338,1775816,889919.0,53939.0,387166.0,1331024.0
6434,137132,459263,231943.0,15764.0,120210.0,367917.0
6441,209888,654324,335704.0,20186.0,152952.0,508842.0
6448,3373,10210,4781.0,174.0,2628.0,7583.0
6455,7924,23871,10879.0,372.0,7247.0,18498.0
6462,5653,16799,7616.0,316.0,4831.0,12763.0
6469,14063,41808,19761.0,741.0,12065.0,32567.0
6476,5750,17523,8356.0,306.0,4872.0,13534.0
6483,11007,36172,16775.0,761.0,9876.0,27412.0
6490,167304,616279,306261.0,19600.0,149985.0,475846.0
6497,30978,106273,52479.0,2591.0,24161.0,79231.0
6505,5145,19301,7973.0,375.0,4315.0,12663.0
6511,3369,10188,4874.0,183.0,2737.0,7794.0
6515,80186,322375,154680.0,11822.0,72598.0,239100.0
6518,6905,21279,9624.0,600.0,6186.0,16410.0
6525,14029,54181,22362.0,1463.0,13509.0,37334.0
6532,19343,63284,30327.0,1686.0,15543.0,47556.0
6539,135383,528494,247159.0,18508.0,125926.0,391593.0
6547,6376,21034,9702.0,392.0,5342.0,15436.0
6553,2270,6499,3225.0,127.0,1655.0,5007.0
6560,114125,452505,208872.0,17023.0,101771.0,327666.0
6568,100936,321109,166361.0,10575.0,82630.0,259566.0
6574,5210,17054,7742.0,260.0,4782.0,12784.0
6581,30285,92933,43393.0,2904.0,25165.0,71462.0
6588,15833,47722,22317.0,997.0,13278.0,36592.0
